benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-DS,MaxDiffAreaHistogram,13,3,JoinHashRight,102,398859,102.000000,3155.872559,100
TPC-DS,MaxDiffAreaHistogram,13,4,JoinHashLeft,250000,166058,250000.000000,3155.816406,100
TPC-DS,MaxDiffAreaHistogram,13,5,JoinHashLeft,28800991,5470761,28800992.000000,124417.882812,100
TPC-DS,MaxDiffAreaHistogram,13,6,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,15,3,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,16,0,JoinHashLeft,14401261,1164433,14401261.000000,0.000232,100
TPC-DS,MaxDiffAreaHistogram,16,1,JoinHashLeft,1439749,115908,1439749.000000,0.000039,100
TPC-DS,MaxDiffAreaHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.000026,100
TPC-DS,MaxDiffAreaHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.000026,100
TPC-DS,MaxDiffAreaHistogram,16,4,TableScan,65535,61,65535.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,16,5,JoinHashLeft,24,16,24.000000,0.000026,100
TPC-DS,MaxDiffAreaHistogram,17,0,JoinHashLeft,102000,0,102000.000000,3176.178711,100
TPC-DS,MaxDiffAreaHistogram,17,1,JoinHashRight,102,57980,102.000000,3182.792236,100
TPC-DS,MaxDiffAreaHistogram,17,2,JoinHashLeft,14401261,1594247,14401261.000000,17943.474609,100
TPC-DS,MaxDiffAreaHistogram,17,3,TableScan,73049,91,73049.000000,91.311256,100
TPC-DS,MaxDiffAreaHistogram,17,4,JoinHashLeft,28800991,803599,28800992.000000,30918.859375,100
TPC-DS,MaxDiffAreaHistogram,17,5,JoinHashLeft,2875432,404102,2875432.000000,3468.944092,100
TPC-DS,MaxDiffAreaHistogram,17,6,TableScan,73049,92,73049.000000,91.311256,100
TPC-DS,MaxDiffAreaHistogram,17,7,TableScan,73049,91,73049.000000,91.311256,100
TPC-DS,MaxDiffAreaHistogram,17,8,TableScan,65535,91,65535.000000,81.969284,100
TPC-DS,MaxDiffAreaHistogram,19,0,JoinHashLeft,250000,13546,250000.000000,1674.453125,100
TPC-DS,MaxDiffAreaHistogram,19,1,JoinHashRight,102,15762,102.000000,1753.370850,100
TPC-DS,MaxDiffAreaHistogram,19,2,JoinHashLeft,500000,13948,500000.000000,1674.452026,100
TPC-DS,MaxDiffAreaHistogram,19,3,TableScan,102000,1836,102000.000000,1835.999878,100
TPC-DS,MaxDiffAreaHistogram,19,4,JoinHashLeft,28800991,883317,28800992.000000,10219.425781,100
TPC-DS,MaxDiffAreaHistogram,19,5,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,25,0,JoinHashRight,102,18941,102.000000,6676.382324,100
TPC-DS,MaxDiffAreaHistogram,25,1,JoinHashLeft,14401261,1498602,14401261.000000,37978.035156,100
TPC-DS,MaxDiffAreaHistogram,25,2,JoinHashLeft,102000,15860,102000.000000,6676.379395,100
TPC-DS,MaxDiffAreaHistogram,25,3,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,25,4,JoinHashLeft,28800991,262336,28800992.000000,10219.425781,100
TPC-DS,MaxDiffAreaHistogram,25,5,JoinHashLeft,2875432,259123,2875432.000000,7342.109375,100
TPC-DS,MaxDiffAreaHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,26963.960938,100
TPC-DS,MaxDiffAreaHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,64818.859375,100
TPC-DS,MaxDiffAreaHistogram,26,2,TableScan,500,494,500.000000,494.000000,100
TPC-DS,MaxDiffAreaHistogram,26,3,TableScan,500,493,500.000000,493.000000,100
TPC-DS,MaxDiffAreaHistogram,26,4,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000,100
TPC-DS,MaxDiffAreaHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1374815.000000,100
TPC-DS,MaxDiffAreaHistogram,28,1,TableScan,28800991,1374966,28800992.000000,1374966.000000,100
TPC-DS,MaxDiffAreaHistogram,28,2,TableScan,28800991,1374768,28800992.000000,1374768.000000,100
TPC-DS,MaxDiffAreaHistogram,28,3,TableScan,28800991,1373693,28800992.000000,1373693.000000,100
TPC-DS,MaxDiffAreaHistogram,28,4,TableScan,28800991,1375524,28800992.000000,1375524.000000,100
TPC-DS,MaxDiffAreaHistogram,28,5,TableScan,28800991,1372592,28800992.000000,1253908.375000,100
TPC-DS,MaxDiffAreaHistogram,29,0,JoinHashRight,102,3,102.000000,546.030273,100
TPC-DS,MaxDiffAreaHistogram,29,1,JoinHashLeft,102000,3,102000.000000,546.029602,100
TPC-DS,MaxDiffAreaHistogram,29,2,JoinHashLeft,28800991,590830,28800992.000000,10219.425781,100
